"0000 - U.S. President","0001 - U.S. Senate","0002 - County Clerk","0005 - Athletic Director","0003 - Question 1 - should the starting time of the annual town meeting be moved to 6:30 PM?"
de5b64e6f204d9616727d8c33ca321c65f182069,2f06ffeaa21fd6202b0ff6d5ace98f72b474028b,5fbfc1fb4df4715fac899f8c75d84c8dd0176129,fd899aaef6d1c9e0a8264a1672724961eb21dabd,6654b5a0d5d67cdd43ee466f9265ac44b0bcaa3e
6fd86c4d6d79c675e1e54c192100ae8a52fd677e,12f0ea8eb94d2c881e1274ff353af1f0eaf22bad,ccfedb70b9a37c47e01e9d76bf031a5b9d7ba78a,a2ff508313e5d738b68d787aca456469bbfdda98,0da5ca17f84e2e5905bcb56886cedf1306eaae6c
ce7d93392c87a4ac293ff1e5281789b08c0a49d0,a0880250f93f0b36b04cfc8f6d511e22db2d8d00,753029953769b22eb7fb56b73b5f4db40d2f6db9,47c570e9519f5e3a276be4e364ec5cd23a154c8f,34d570cfaa62a396d00dc241efba4826063b45d1
de95f495c2aa335f4729a408366b8aa8ab06e750,d80ca95ff0f78eabfddb27329807ba0384b12c5b,55acb1ce544035f9634e8e18d2b3d313b5d4a0d2,66aab45114cce403718e2d142ad1031c0969610c,cefcece381e2e7e4cd7c38f8780e77972aae19e6
001617a962aa469ddf7f3a8d5e9ef26a150fd726,b33ac60c4b03adc2406e404410e21a67fffccdab,67c9872e2ac1df5782b11c4d609bdd59aafba884,94796cd6d85f56dadab6ea29563be25620b2c946,dc83d6fcbb31a4dc787f3ff0ebde493e9e797818
8564df52e741d709ee1b0d3b399c2f420c0859ac,9f565edad8af06024824017aa84b866be98d6be8,f50069d242877ade471eb340c84575e2073d7a35,3ac353ac51448ebdbfefb8fd82931aca3edb8d81,d0584023267cbf7f2961f7084462dda0ff3a396f
b54da995004dbb12170df4e98f2ac34b87e117ac,0b62ed83bd87540db89eaa25f5d255f4e8a44291,0af97adefe8eb0cc4ccd62a4b8ab007e32699d05,68354e0c252ce6e4782210187359da325ed29b87,242c1a94537c70233d55a8047d68e84d4278e9b6
8c98c942b242998fcc2f08ca1d7ff3c37cd11be4,ba8d45fb612418f55e2be361359e63170f2ecdf7,6f0f4f48baaa592506be750f766c6f8956260d49,f9d64581102ae3bd0e8ef752921e3089510db8df,c2af36251563188c9ca9cdedef3e17731d9b968c
2910e6de24602e276c4671a13361538b419428c7,b03401551761711d675a300e145f9569bd840716,a777b6f000a62f0351eb5c659b0d8b17aa0314ac,91e9140f6723472604c09adcff7cd489f0773c67,c93c6b188bb24a60818a3ef97edd9d12d73a71b4
5828010b263e875f4eaf3b1b52361125d17e3ea0,34b8bcdc9017d9aba00349651e2bec9e6cf86e87,17966847859ba85a295236aadc4c823a5a0b631a,6cc95e0b2bfab43b9ffd102e6c345bb9f50644ec,208c3560774e1205754ce378b6408e4ea07591c8
7fb6a0adb78ec41442fb0f2e664464473c2fc8ce,dcd143e0718de83cc060a88bc0d0d86220f1ce1c,5ace5ab432678df3fe21fafc279b788c6ad29435,edfe73fb9e61509527bf48dce52756a48f6e7fe4,9f1a37495275fc11ed20922f1cc6e9e1ca414553
c3b0d8cc42480d9d1968bb0248217e6126efb0ef,3e89acd5b73ce3f7780bbf5ba8ed1ee03fb012a9,54c590e632cf35a4ca1e74de5c0ccbc9af7fcde9,796e88211a060413308692b3217c7420b7cc74d5,16fb0836f6d6c9ab5b546e260e3395af89ba420d
0f591aec3c1bb8c248ebd4367a10261bf7e21f22,f71579339a0c877c27fd565f9b876347cbf074e4,15fbc62867b7ee9c81a52a6ed2fc8fbb439c69a9,b0df8cf21efff365601bd347d1c3e575476c0584,07a0d1eba3be136dd48825f6422b14fa9e480009
4c0fce7a1a24575c751b18a3c793739201983178,ee347a5a92e22db372722a00a1252ca4fbbffe23,55ebb5176648e5782b89b407a55c360e74c3b275,166cb258c7b36600529f4c036d414a39bce2fa47,c097bff9413388976f0b013cfd49fbef96e90c25
1a52b40649247cc1772de7d2f0118b530fb37735,df955cf164a6b6e2dcb715a9e45b915748e15322,48286c43130f27120dfb4485a1ccaac5b3efa729,2ebb6dad115262460114c5f14f4b717adaf2716e,196f8e98697207c89103cf1ce6d303c538224164
8ce8a6005a40df0e356267d2723484b8e7d38993,cce238d4d128197dcaf8f705cb773399f35389e3,f532d74abd4a7ec706b78b86c0ce4d1371778dbc,05d62619f6de79dcf3340eafee853d027780cc1a,e0133cdb8418a0aec1897c7709d2e6b91d96be02
f3842f5fd541ec902d1880bfba178aba7410869b,34ea6a2de19cb210fddb4924d6df1dcc51d29be9,4f8fcf725b062074865eda4c417ab879ad665555,dfddbd486828a1ff05660c63d2836cfb486c5135,75524fab9b33b2260f2a1e43f1975970edca386d
a03bcdd3b522c3cbb524fff22aba5ca38c96833a,b1d928f06f087c5069df9709aa1658c0339cc858,1aa04bf2d0ef18bd63869ac70eb643064fa508f6,1861d77c16611d6cc8b1d3a7506f7671fdc05cdd,d34ab2dfecceb56db85e9b47100869adb5ef8a3e
2c169a6d7caba394afcd0200175230e8e1e2a952,8f5448501a9ff7ffa5fb463813d1531eee3be894,83aabba376b3ee4b78645a54fb09e0ab3f870ae4,aca4aae1613cccd8a7107bdfbae8c7e71eaa32b2,4bbcb3dbb6dfea02838838cd6696e78de0551494
04aaaf43f2bb8184268cdb19125d4d192c45253f,311313e49232d4af7780abc818014769048483cc,3a8d6e07b425a3e853f0b872395e7e1a7ff9c4f8,f8364919ee088a1593cff7e2a4c8af22c3c7e5fa,6f9030dd3d8a907b3c285b876e174850568eb816
767e4741487aff9bd4bbef254be40ed32ee9be65,af631ac98b58ed492700799996b94de8f7081228,715f89c681060614d49df0147a02a355a7a201f1,7ed74676bb24970431ea4f30546698455588f6f3,a12c5d010ee150208abb3abe530470dc140ca1a3
6faa1b3ba3d4504aa517504f99decb940857692d,0f8fd9c8a5bc2f0f2e2c51dbe5014570798af49a,70087776e3fff9a01ccbc4b621710f20c4c7a867,415edc9d3a468000e21b53356103bdaf3cda5530,b1b3639e3b545688cbe5d762de2cdfd67ccbaa9e
85dafd026793b829a0d93b40a5064fe50b235150,6e4114ef5ef8b071871649d58953fa4dc4a792b1,746eea02cf3b1c7988eea5a77fae3e037fd38512,177f626e686cec18672d0e3ebf42d3f7930f6879,0c967e9f117e06d6f933160ad773035bf9e28bfe
da83df4073b63154b5f721d9a2024e1a23c488c6,0452818e726b283cd08d059543ad98c67976593f,b5db2e0b83d97241919084c3ca2ca24ae585b743,ba851d19b552b1323fbd8694daefbddf94a2f338,e17af9d15c6b81174e523a4f1a88effc30dceccb
dfaa5ac5d8488aacc6e48951fa414f52e4a88321,4146b538480b2c3ae23d8c2122ac465454d0ea8c,62ceba9edbbb3cc0ad190ce26d39e76017618dcc,826d03d61e44cebd8322ef653be528273ed3c004,0386ca939bc75e204f832b2a2db3d0a830e34dc6
d23b91f7484f32df546a0f5a0e70b7ab373b618f,2d2356d3a79d6d3cb6681a347c72aab3c257b67a,d31b7e62203b7655bc0e991bcadf8a927971c4b8,84b65c88ac221d143a4d384fb3991e4ec1c1ad38,49b70ef52d5d0776deada35edb61c0e238531b44
5e0951bcc0a2a63dbbd266a53d5cfe88c69d8004,73eae9d420b502d3f856eaa1dc4c40817bf5649d,139c3ab20772553a1f385a00146b0765fcfaa3b4,f88d8d9e4e916b082bcc865fe6428957e3ef7556,0597a2058123da5391085bb91405c889d5db086d
07c0064c7f0b035306e84e5c6f74be67cac79937,69b4bc6ed3d3d229899681b24d34e7eca4340ee0,ff3337aacc23ceb74629035acb0eae76f76dc0a5,e9f433d4e7b2162ddfe8ea8506d3e712bfcbb382,23fd886d035ddc44a67147752d3c63e74d6cc802
779b136d9437a9a72ba6069a310bb53400fd1ea9,6241e22537299701b0bf6b1c27fd3b0863e36f22,562c400d5c4add76ba5b4093f09ae9f5b4307e64,d64c808dfab52e4e6022a23539801bd8096d7b7f,b80073671200de605c7070c18a66c648a491bcda
8150284d5bf96d28543a54d41f1aafb82ad03cab,22ef340876bb91d56f242306930caaaf42d4078c,3d1166e7f9801be6227aa7d39ca5094dc3682aa0,bb01e82b9f835bec0a483e6ec29126f9c21b8fdb,7d05a639b5baaabff57866cfdf7fa6312b7a6569
b8c8d091f429d3832eea2e3ea19b951b3a092816,75c78f4e2c5730bc966e3180fa855a2254ede238,2d6d98fa06eff25c2f1e9283b213e52edc60bc14,88607e97451d3d6033c65245c770a6ba1eaec98e,e62cf53f83c33a30eb14408049d27ca6de94b27c
115f20974ea9f1c26aa306c8d361ac3602ed3f41,abdf2fe3073039ee3710e85c82753a9ba7523b47,ed4033397e85745eb660ac69da84aef3cdfa9112,c79a4bd0ac45276563a5a8dfca14c0e01f1d2c7c,eb93eacf26419ebdce5e78f82e5de04f93bab847
a4351cfaabade82b75398aca6079887170300f54,ae3496d7fde7f31a1397ccb68835a1ea2b493f84,0b1284b37e88eee93c4400b410ca565d652b92f7,669b64791edc499255fa573cec6683f7ce6134a7,578ee9becc07905d14d9140818d8b4d2f5b25d20
58aa5321cab3f153de051a422f1dd9ccb993e9e4,58264c302a35b755fb398da7aed2b9bc2e6ff3ec,7456cfd55b7d044414d06c24b985bfb5d59428ab,042e701ca27ba6102187989188c99fb4c298bfc0,dbeef7d83f9b1263357661b89dde56a2d131c1d7
6008962860bbd16632c208ff9dab465d3821eceb,b902430ba479835af805f66b0dcdfe51d76a74e6,33b4a06ec0a4c0bbd23482f06d3cd19e2610d953,6bd87fe143db4d6f2ee19bf677516094000a72f0,619e7ce0289247cce4467daf5859bed481ec19af
c5a34e15510cfbeea0e4d06a85d3f77e2c84adbe,9ce5b30ca32e183b1b5035042616f7f82a0bb557,08aee82036304f8364ad6feb5847d04237232554,511e70b9f845c27453a619be74a62aec879ce10a,5dc7f57f631312c61358eab1b7641b924e423b03
1bebd3f3ab24b03e5746eea834f18e96027627b3,5aea53ae929bfa437cdf19df99b4ef7946d1abe5,b7f7073d2a3c4f43e9742c96c328b1726e43e2f0,0d39fd8bd678dd4031e0c1bd6aab5b2ff146a465,5b8f5572e3e12b5493ed200bef50688dff1aad6d
d80847c1f80987c5b620248960580c42aaa5f81b,1315c25c1570527c9b7176c11f3a0bc0cbaf33d4,65d14e5a3a69ab1f5357e65fd8b0cebfcf9fa3a8,f3f417ef68a848d8aab4b1479705ac3b218c290b,98342d566bc49f6c2986ddbdc59e98125c062a72
4aff88d1d8f366894a2b932825fd7720e346d3ed,fa529da7647f0373f429ac20fe9b90ef41d4c67b,7dde985a5dba6de63ef18c555db2813171b9edb6,d199305aa6269cb5fa76aadc7583efe063f502b3,3c3ed22e1b9b7ac93206c4d667206fd6554ceba1
66b5b355b368f20c37f613cc95125fd5c4cf65db,2465774f274c8a2594e52ae418201afaaee9049e,b92b90c9191c744bf542206f8484547bb40215cd,65832374ca1bae1689152eec60e060af79a79f8e,024f9d98454344ad8c9b34333dee1e5aaa745e51
497565a8f310a724d4f8edd9107cb31ae32cedce,962a504198d08165a7c9c181eb8c70a77aa40ae7,cfd6e652b665ff1df9213f50b0518fc93d940780,faf173f4adc4edca41890a09f4df3b73c5f7cba4,a1af2fb90168d8e3e806fd3ae9e150ef467cb78a
ef27359606b6e3863c929e596369aa1cc586b024,8b7e7d87d4e21723b7acd6e9e02bb3551b9254af,5e5c16d5e2f5b01297329bc760fb8652f60fa684,cb37d8bdf79bc193157495c3d3d4eb32435197bf,7e95216abd763e49645d2580f81ea18acc30a921
46d02a344c26c01ab866996f91a3638e4e5a9be7,5b9b52ca72d0575fb2f679a222877504296be560,b3afc263a38d7f97d8f3ca8d1dc7265fdadc0ab0,6c5084ebe1e676ac6d3d4f0a0948c77e7663f984,976d21fb16906a962d50cb09a0a5c8f4489b8193
ff115926bed4903068daabd82bf4b4d91ae4c3e7,c46912056c46eb1ff167da65074946b53dbdd303,fb43fbb2958edabc91231b7ccd9648c5c2ef47fa,e0bb3ffde416f7e88194d298d325c0a390d16481,7e7221a0699fe4498db80d63e9913e07bc584cd2
24ea1ec8a361d3e01029f70330cb8312eddba39e,4eb1b3b492f80df6c97bb8ae1a741473470571e0,b80c37f4961d4228a98e0394644028d6b83801b3,711c635f4b54b4c7951ebb7ce1cb8e92fb0a35e2,578ad1a14f33580c3b0b613d6630db96e429f993
